0,-0.24570,-0.75858,-1.36611  
1,-0.58149,-0.65842,-1.24559  
2,-1.46489,-0.58151,-1.17629  
3,-2.50089,-0.42556,-1.43064  
4,-3.81923,-0.15412,-1.44916  
5,-4.78537,0.42922,-1.41819  
6,-5.87521,1.56669,-1.38835  
7,-6.84331,2.69692,-0.75355  
8,-7.69850,4.40551,-0.12847  
9,-8.53204,6.17558,0.10720  
10,-9.99926,8.33893,0.33016  
11,-11.35565,11.52678,0.43259  
12,-13.13780,15.37091,0.77090  
13,-15.26028,19.46319,0.69688  
14,-16.94197,24.31957,-0.20436  
15,-19.68577,29.34321,0.39022  
16,-21.73456,35.11135,-0.65325  
17,-24.72556,40.82408,-0.22070  
18,-27.10966,46.83358,-0.83911  
19,-30.04474,52.34137,-0.19576  
20,-32.63592,57.69416,-0.09628  
21,-35.48243,62.70289,0.79300  
22,-38.36755,67.87626,0.83559  
23,-41.41207,72.66578,0.63250  
24,-45.10284,76.53131,0.02243  
25,-49.57307,78.86208,0.57733  
26,-54.35310,80.06566,0.36315  
27,-58.92672,79.86635,0.43267  
28,-63.34502,79.02627,0.92403  
29,-67.38182,77.18028,0.52813  
30,-71.14205,74.69079,0.71967  
31,-74.33662,73.48119,-1.00280  
32,-77.84727,71.35858,-1.42647  
33,-81.54748,68.30493,-0.51761  
34,-83.55736,66.70112,-2.73052  
35,-86.73540,64.60133,-2.71653  
36,-89.15179,62.30579,-2.72982  
37,-92.14958,59.91284,-2.82496  
38,-95.53190,57.56369,-2.23651  
39,-99.75195,54.98231,-1.83192  
40,-103.19793,53.36794,-1.56331  
41,-107.05534,52.14146,-1.12582  
42,-112.10931,51.71433,-0.60781  
43,-117.78785,51.62656,-1.12157  
44,-124.33501,52.24424,-2.50397  
45,-130.47904,54.29154,-3.26654  
46,-137.87533,55.29873,-5.69750  
47,-141.72395,60.03475,-3.42202  
48,-146.36970,63.40932,-3.04914  
49,-150.64529,66.16175,-2.95490  
50,-154.08898,68.14051,-2.75801  
51,-156.94054,68.88998,-2.91016  
52,-158.49007,69.77648,-2.93604  
53,-160.69098,69.33160,-4.48397  
54,-160.93201,71.43992,-0.97171  
55,-162.66807,71.74595,0.77775  
56,-162.98970,71.38054,0.49859  
57,-164.59343,71.32481,3.03064  
58,-164.15041,70.92187,2.62476  
59,-163.97901,71.36724,3.49062  
60,-163.80789,71.34367,3.51945  
61,-163.86075,71.26020,3.06745  
62,-164.42984,69.94659,-0.41742  
63,-164.42324,69.83084,-0.85317  
64,-164.46568,69.92081,-1.01671  
65,-164.47909,69.83642,-1.03785  
66,-164.55439,69.87939,-0.89101  
67,-164.65320,69.69258,-1.17660  
68,-164.61657,69.72596,-1.01095  
69,-164.64932,69.67128,-0.92912  
70,-164.62906,69.62021,-1.27177  
71,-164.74332,69.42232,-1.57475  
72,-164.81559,69.33156,-1.75223  
73,-164.83560,69.31853,-1.88080  
74,-164.87566,69.26929,-1.89002  
75,-164.93846,69.14598,-2.28632  
76,-164.98662,69.07180,-2.49228  
77,-165.12863,68.98575,-2.47529  
78,-165.20908,68.86652,-2.66957  
79,-165.16536,68.95745,-2.69804  
